URL,Impressions,Clicks,CTR,Position,Classification,TopQuery,NewTitle,NewMeta,Notes,CTA
https://www.fsidigital.ca/grants/qc/montreal/women-entrepreneurs,1748,14,0.8%,16.23,A,"montreal women entrepreneurs grants","Montreal Grants for Women Entrepreneurs — Quebec Funding (2026)","Practical list of Montreal & Quebec grants for women entrepreneurs, eligibility and application tips. Free guide.","Add bilingual summary (EN/FR); local resources; deadlines","Download Montreal grants guide"
https://www.fsidigital.ca/grants/on/toronto/restaurants-hospitality,1579,34,2.15%,9.12,A,"toronto restaurant grants","Toronto Restaurant Grants & Hospitality Funding — 2026 Guide","Grants and support for Toronto restaurants & hospitality businesses — eligibility, deadlines and application tips.","Add restaurants checklist; local authority links; CTA to checklist","Get the Restaurants Grants Checklist — free"
https://www.fsidigital.ca/,1571,16,1.02%,19.27,A,"fsi digital","FSI Digital — Grants, Funding & Startup Resources (Canada & USA)","FSI Digital helps startups, SMEs and social enterprises find grants and funding with guides, checklists and hands‑on help. Start here.","Improve hero CTAs to highlight commercial offers ($19/$49/$79); surface top hubs","Find Grants — Start Here (lead capture)"
https://www.fsidigital.ca/canada/innovation-grants,1561,4,0.26%,37.75,B,"innovation grants canada","Canada Innovation Grants & R&D Funding — 2026 Programs","Discover Canada innovation grants, SR&ED alternatives, and how to structure an R&D grant application. Examples included.","Add SR&ED vs IRAP comparison; case study; download checklist","Download Innovation Grants Checklist"
https://www.fsidigital.ca/blog/veteran-business-funding-canada-2026,1413,32,2.26%,13.72,A,"veteran business funding canada","Veteran Business Grants in Canada (2026) — Programs & How to Apply","Grants and supports for Canadian veteran entrepreneurs — programs, eligibility and step‑by‑step application tips.","Add veteran org trust badges; CTA for guide; keep strong hero answer","Get Veteran Grants Guide (PDF)"
https://www.fsidigital.ca/blog/dod-sbir-defense-tech-grants,1336,11,0.82%,10.04,A,"dod sbir grants","DoD SBIR Defense Tech Grants — How to Apply (2026)","Practical guide to DoD SBIR grants for defense tech entrepreneurs — deadlines, team requirements, and proposal tips.","Add checklists & timeline; FAQ about compliance; link to proposal review","Request a proposal review — $79"
https://www.fsidigital.ca/blog/canada-startup-funding-grants-guide,1298,3,0.23%,38.11,B,"startup funding canada","Canada Startup Funding & Grants — Complete Guide (2026)","How Canadian startups can find funding and grants — federal & provincial options, accelerator links and next steps.","Expand early-stage funding sections; add comparison & CTA to alerts","Join the Startup Funding Alerts"
https://www.fsidigital.ca/blog/usda-sbir-agtech-grants,1172,6,0.51%,7.73,A,"usda sbir agtech","USDA SBIR Agtech Grants — Phase I Guide & Deadlines (2026)","USDA SBIR explained for agtech startups: deadlines, application tips, and sample budgets. Get the Phase I checklist.","Add sample budget & deadline highlights; internal SBIR links","Download USDA SBIR Phase I Checklist"
https://www.fsidigital.ca/blog/healthcare-grants-2026,1149,11,0.96%,9.94,A,"healthcare grants 2026","Healthcare Grants 2026 — Funding for Healthtech & Providers","Grants and funding opportunities in 2026 for healthtech, hospitals and clinics — deadlines, eligibility and application tips.","Add short answer + major grant table; who should apply; case studies","Get the Healthcare Grants Checklist"
https://www.fsidigital.ca/blog/7-startup-accelerators-california-free-money,1040,10,0.96%,15.06,A,"startup accelerators california","7 Startup Accelerators in California — Funding & Perks (2026)","A comparison of 7 California startup accelerators with funding, equity terms and how to apply. Save time with our application checklist.","Add comparison table & templates; link to state startup grants","Download Accelerator Application Templates"
