Rank,URL,Target Keyword,Impressions,Clicks,Current CTR,Position,Intent Category,Commercial Intent %,RTE Score,Current Monthly EV ($),Projected Monthly EV ($),Incremental Gain ($),Offer Tier,Price ($)
29,https://www.fsidigital.ca/usa/ohio,"ohio",1029,1,0.1%,18.7,PROGRAMS,60%,63,$0.88,$6.26,$5.38,TIER_ACTION_PLAN_49,$49
30,https://www.fsidigital.ca/usa/kentucky,"kentucky",1004,3,0.3%,14.0,PROGRAMS,60%,65,$2.65,$9.17,$6.52,TIER_ACTION_PLAN_49,$49
31,https://www.fsidigital.ca/usa/nevada,"nevada",950,3,0.32%,13.2,PROGRAMS,60%,65,$2.65,$9.64,$6.99,TIER_ACTION_PLAN_49,$49
32,https://www.fsidigital.ca/guides/apply-irap-grants,"apply irap grants",229,0,0%,11.0,APPLICATION,92%,67,$0.00,$5.87,$5.87,TIER_STRATEGY_199,$199
33,https://www.fsidigital.ca/blog/csbfp-canada-small-business-financing-program,"csbfp  small business financing program",4632,2,0.04%,56.8,PROGRAMS,84%,64,$1.76,$9.40,$7.64,TIER_ACTION_PLAN_49,$49
34,https://www.fsidigital.ca/guides/apply-strategic-innovation-fund,"apply strategic innovation fund",111,0,0%,7.3,APPLICATION,92%,69,$0.00,$7.11,$7.11,TIER_STRATEGY_199,$199
35,https://www.fsidigital.ca/usa/new-york,"new york",7479,2,0.03%,37.7,PROGRAMS,60%,61,$1.76,$15.17,$13.41,TIER_ACTION_PLAN_49,$49
36,https://www.fsidigital.ca/blog/canada-federal-grants,"federal grants",4054,3,0.07%,38.4,PROGRAMS,60%,61,$2.65,$8.22,$5.57,TIER_ACTION_PLAN_49,$49
37,https://www.fsidigital.ca/grants/ca/san-francisco/technology,"technology",755,3,0.4%,19.3,PROGRAMS,60%,63,$2.65,$5.82,$3.17,TIER_ACTION_PLAN_49,$49
38,https://www.fsidigital.ca/blog/canada-technology-adoption-grants-guide,"technology adoption grants",693,1,0.14%,18.9,PROGRAMS,60%,63,$0.88,$4.22,$3.34,TIER_ACTION_PLAN_49,$49
39,https://www.fsidigital.ca/grants/bc/vancouver/women-entrepreneurs,"women entrepreneurs",2026,14,0.69%,18.5,PROGRAMS,60%,63,$12.35,$27.17,$14.82,TIER_ACTION_PLAN_49,$49
40,https://www.fsidigital.ca/blog/quebec-business-grants-2026,"quebec business grants",245,0,0%,8.1,PROGRAMS,84%,69,$0.00,$6.96,$6.96,TIER_ACTION_PLAN_49,$49
41,https://www.fsidigital.ca/canada/indigenous-entrepreneur-grants,"indigenous entrepreneur grants",2380,9,0.38%,24.6,PROGRAMS,60%,63,$7.94,$17.46,$9.52,TIER_ACTION_PLAN_49,$49
42,https://www.fsidigital.ca/blog/amber-grant-women-canada,"amber grant women",119,0,0%,10.3,PROGRAMS,84%,67,$0.00,$2.17,$2.17,TIER_ACTION_PLAN_49,$49
43,https://www.fsidigital.ca/blog/nserc-research-grants-canada,"nserc research grants",92,0,0%,11.1,PROGRAMS,84%,67,$0.00,$1.31,$1.31,TIER_ACTION_PLAN_49,$49
44,https://www.fsidigital.ca/blog/canada-agriculture-agrifood-grants-guide,"agriculture agrifood grants",479,0,0%,14.6,PROGRAMS,60%,65,$0.00,$3.89,$3.89,TIER_ACTION_PLAN_49,$49
45,https://www.fsidigital.ca/blog/bc-business-grants-2026,"bc business grants",52,0,0%,8.9,PROGRAMS,84%,69,$0.00,$1.16,$1.16,TIER_ACTION_PLAN_49,$49
46,https://www.fsidigital.ca/topics/irap-funding-eligibility,"irap funding eligibility",68,0,0%,11.0,PROGRAMS,84%,67,$0.00,$0.97,$0.97,TIER_ACTION_PLAN_49,$49
47,https://www.fsidigital.ca/blog/alberta-innovation-grants,"alberta innovation grants",66,0,0%,11.8,PROGRAMS,84%,67,$0.00,$0.80,$0.80,TIER_ACTION_PLAN_49,$49
48,https://www.fsidigital.ca/grants/qc/montreal/women-entrepreneurs,"women entrepreneurs",1771,15,0.85%,16.3,PROGRAMS,60%,63,$13.23,$29.11,$15.88,TIER_ACTION_PLAN_49,$49
49,https://www.fsidigital.ca/blog/indigenous-business-development-2026,"indigenous business development",307,0,0%,15.0,PROGRAMS,60%,65,$0.00,$2.49,$2.49,TIER_ACTION_PLAN_49,$49
50,https://www.fsidigital.ca/grants/ca/garden-grove/education,"education",304,0,0%,18.0,PROGRAMS,60%,63,$0.00,$1.85,$1.85,TIER_ACTION_PLAN_49,$49
51,https://www.fsidigital.ca/download/california-tech-guide,"california tech",263,0,0%,14.2,PROGRAMS,60%,65,$0.00,$2.40,$2.40,TIER_ACTION_PLAN_49,$49
52,https://www.fsidigital.ca/blog/alberta-small-business-grants-guide,"alberta small business grants",2478,4,0.16%,39.2,PROGRAMS,84%,64,$3.53,$7.76,$4.23,TIER_ACTION_PLAN_49,$49
53,https://www.fsidigital.ca/download/irap-application-kit,"irap application kit",76,3,3.95%,13.3,APPLICATION,92%,67,$4.78,$10.51,$5.73,TIER_STRATEGY_199,$199
54,https://www.fsidigital.ca/download/sif-application-kit,"sif application kit",82,0,0%,14.4,APPLICATION,92%,67,$0.00,$1.35,$1.35,TIER_STRATEGY_199,$199
55,https://www.fsidigital.ca/guides/apply-youth-entrepreneurship-funding,"apply youth entrepreneurship funding",86,0,0%,16.7,APPLICATION,92%,66,$0.00,$0.94,$0.94,TIER_STRATEGY_199,$199
56,https://www.fsidigital.ca/topics/how-to-apply-government-grants-canada,"how to apply government grants",82,0,0%,17.9,APPLICATION,92%,66,$0.00,$0.90,$0.90,TIER_STRATEGY_199,$199
57,https://www.fsidigital.ca/grants/mi/detroit/minority-owned,"minority owned",547,8,1.46%,11.6,PROGRAMS,60%,65,$7.06,$15.52,$8.46,TIER_ACTION_PLAN_49,$49
58,https://www.fsidigital.ca/guides/apply-regional-development-agencies,"apply regional development agencies",63,0,0%,12.9,APPLICATION,92%,67,$0.00,$1.15,$1.15,TIER_STRATEGY_199,$199
59,https://www.fsidigital.ca/canada/small-business-grants,"small business grants",6589,0,0%,63.5,PROGRAMS,60%,61,$0.00,$13.37,$13.37,TIER_ACTION_PLAN_49,$49
60,https://www.fsidigital.ca/usa/rhode-island,"rhode island",441,0,0%,21.1,PROGRAMS,60%,63,$0.00,$1.34,$1.34,TIER_ACTION_PLAN_49,$49
61,https://www.fsidigital.ca/usa/michigan/grand-rapids,"grand rapids",268,0,0%,24.9,PROGRAMS,60%,63,$0.00,$0.82,$0.82,TIER_ACTION_PLAN_49,$49
62,https://www.fsidigital.ca/grants/industry/saas-companies,"saas companies",255,5,1.96%,10.5,PROGRAMS,60%,65,$4.41,$9.70,$5.29,TIER_ACTION_PLAN_49,$49
63,https://www.fsidigital.ca/blog/7-startup-accelerators-california-free-money,"7 startup accelerators california free money",1040,10,0.96%,15.1,PROGRAMS,60%,63,$8.82,$19.40,$10.58,TIER_ACTION_PLAN_49,$49
64,https://www.fsidigital.ca/blog/atlantic-small-business-grants-guide,"atlantic small business grants",247,0,0%,8.8,PROGRAMS,60%,66,$0.00,$5.51,$5.51,TIER_ACTION_PLAN_49,$49
65,https://www.fsidigital.ca/grants/md/baltimore/veterans,"veterans",229,0,0%,8.4,PROGRAMS,60%,66,$0.00,$6.50,$6.50,TIER_ACTION_PLAN_49,$49
66,https://www.fsidigital.ca/guides/california-loan-guarantee-guide,"california loan guarantee",226,0,0%,10.1,PROGRAMS,60%,65,$0.00,$4.13,$4.13,TIER_ACTION_PLAN_49,$49
67,https://www.fsidigital.ca/download/nsf-sbir-grants-guide,"nsf sbir grants",66,1,1.52%,17.3,PROGRAMS,84%,66,$0.88,$1.94,$1.06,TIER_ACTION_PLAN_49,$49
68,https://www.fsidigital.ca/grants/on/toronto/education,"education",205,5,2.44%,10.9,PROGRAMS,60%,65,$4.41,$9.70,$5.29,TIER_ACTION_PLAN_49,$49
69,https://www.fsidigital.ca/grants/pa/erie/veterans,"veterans",196,0,0%,10.1,PROGRAMS,60%,65,$0.00,$3.58,$3.58,TIER_ACTION_PLAN_49,$49
70,https://www.fsidigital.ca/canada/agriculture-startup-funding,"agriculture startup funding",50,3,6%,16.2,PROGRAMS,84%,66,$2.65,$5.29,$2.64,TIER_ACTION_PLAN_49,$49
71,https://www.fsidigital.ca/grants/az/phoenix/women-entrepreneurs,"women entrepreneurs",174,0,0%,7.9,PROGRAMS,60%,66,$0.00,$4.94,$4.94,TIER_ACTION_PLAN_49,$49
72,https://www.fsidigital.ca/grants/ca/los-angeles/education,"education",184,0,0%,8.9,PROGRAMS,60%,66,$0.00,$4.11,$4.11,TIER_ACTION_PLAN_49,$49
73,https://www.fsidigital.ca/download/bdc-women-entrepreneurs-financing-guide,"bdc women entrepreneurs financing",184,0,0%,9.0,PROGRAMS,60%,66,$0.00,$4.11,$4.11,TIER_ACTION_PLAN_49,$49
74,https://www.fsidigital.ca/blog/bmo-celebrating-women-grant,"bmo celebrating women grant",170,0,0%,10.3,PROGRAMS,60%,65,$0.00,$3.10,$3.10,TIER_ACTION_PLAN_49,$49
75,https://www.fsidigital.ca/grants/mi/detroit/women-entrepreneurs,"women entrepreneurs",172,1,0.58%,9.2,PROGRAMS,60%,66,$0.88,$3.84,$2.96,TIER_ACTION_PLAN_49,$49
76,https://www.fsidigital.ca/programs/mitacs-accelerate,"mitacs accelerate",162,0,0%,9.4,PROGRAMS,60%,66,$0.00,$3.61,$3.61,TIER_ACTION_PLAN_49,$49
77,https://www.fsidigital.ca/grants/az/phoenix/veterans,"veterans",153,1,0.65%,7.6,PROGRAMS,60%,66,$0.88,$4.35,$3.47,TIER_ACTION_PLAN_49,$49
78,https://www.fsidigital.ca/grants/az/chandler/retail,"retail",155,0,0%,8.9,PROGRAMS,60%,66,$0.00,$3.46,$3.46,TIER_ACTION_PLAN_49,$49
79,https://www.fsidigital.ca/grants/mn/minneapolis/women-entrepreneurs,"women entrepreneurs",161,3,1.86%,10.5,PROGRAMS,60%,65,$2.65,$5.82,$3.17,TIER_ACTION_PLAN_49,$49
80,https://www.fsidigital.ca/grants/wa/seattle/women-entrepreneurs,"women entrepreneurs",169,1,0.59%,8.9,PROGRAMS,60%,66,$0.88,$3.77,$2.89,TIER_ACTION_PLAN_49,$49
81,https://www.fsidigital.ca/blog/sba-sbir-grants-2026,"sba sbir grants",167,1,0.6%,8.7,PROGRAMS,60%,66,$0.88,$3.73,$2.85,TIER_ACTION_PLAN_49,$49
82,https://www.fsidigital.ca/blog/massachusetts-tech-programs,"massachusetts tech",151,1,0.66%,9.3,PROGRAMS,60%,66,$0.88,$3.37,$2.49,TIER_ACTION_PLAN_49,$49
83,https://www.fsidigital.ca/grants/ab/calgary/women-entrepreneurs,"women entrepreneurs",144,4,2.78%,8.4,PROGRAMS,60%,66,$3.53,$7.76,$4.23,TIER_ACTION_PLAN_49,$49
84,https://www.fsidigital.ca/blog/regional-development-agencies-government-grants,"regional development agencies government grants",137,4,2.92%,12.0,PROGRAMS,60%,65,$3.53,$7.76,$4.23,TIER_ACTION_PLAN_49,$49
85,https://www.fsidigital.ca/about,"about",140,2,1.43%,7.2,PROGRAMS,60%,66,$1.76,$4.97,$3.21,TIER_ACTION_PLAN_49,$49
86,https://www.fsidigital.ca/grants/qc/montreal/technology,"technology",144,1,0.69%,8.4,PROGRAMS,60%,66,$0.88,$4.09,$3.21,TIER_ACTION_PLAN_49,$49
87,https://www.fsidigital.ca/grants/va/chesapeake/arts-entertainment,"arts entertainment",134,0,0%,8.9,PROGRAMS,60%,66,$0.00,$2.99,$2.99,TIER_ACTION_PLAN_49,$49
88,https://www.fsidigital.ca/grants/ga/atlanta/women-entrepreneurs,"women entrepreneurs",140,1,0.71%,9.1,PROGRAMS,60%,66,$0.88,$3.12,$2.24,TIER_ACTION_PLAN_49,$49
89,https://www.fsidigital.ca/grants/oh/columbus/women-entrepreneurs,"women entrepreneurs",138,2,1.45%,8.2,PROGRAMS,60%,66,$1.76,$3.92,$2.16,TIER_ACTION_PLAN_49,$49
90,https://www.fsidigital.ca/download/software-saas-grants-guide,"software saas grants",131,0,0%,11.8,PROGRAMS,60%,65,$0.00,$1.59,$1.59,TIER_ACTION_PLAN_49,$49
91,https://www.fsidigital.ca/grant-finder,"grant finder",138,1,0.72%,11.4,PROGRAMS,60%,65,$0.88,$1.96,$1.08,TIER_ACTION_PLAN_49,$49
92,https://www.fsidigital.ca/grants/tx/san-antonio/women-entrepreneurs,"women entrepreneurs",122,0,0%,8.3,PROGRAMS,60%,66,$0.00,$3.46,$3.46,TIER_ACTION_PLAN_49,$49
93,https://www.fsidigital.ca/grants/ga/atlanta/veterans,"veterans",127,0,0%,8.9,PROGRAMS,60%,66,$0.00,$2.83,$2.83,TIER_ACTION_PLAN_49,$49
94,https://www.fsidigital.ca/grants/wa/seattle/veterans,"veterans",126,0,0%,9.0,PROGRAMS,60%,66,$0.00,$2.81,$2.81,TIER_ACTION_PLAN_49,$49
95,https://www.fsidigital.ca/grants/il/chicago/technology,"technology",124,1,0.81%,8.4,PROGRAMS,60%,66,$0.88,$3.52,$2.64,TIER_ACTION_PLAN_49,$49
96,https://www.fsidigital.ca/grants/fl/orlando/technology,"technology",114,1,0.88%,8.0,PROGRAMS,60%,66,$0.88,$3.24,$2.36,TIER_ACTION_PLAN_49,$49
97,https://www.fsidigital.ca/grants/tx/dallas/women-entrepreneurs,"women entrepreneurs",129,0,0%,9.9,PROGRAMS,60%,66,$0.00,$2.36,$2.36,TIER_ACTION_PLAN_49,$49
98,https://www.fsidigital.ca/grants/tx/fort-worth/women-entrepreneurs,"women entrepreneurs",117,0,0%,10.3,PROGRAMS,60%,65,$0.00,$2.14,$2.14,TIER_ACTION_PLAN_49,$49
99,https://www.fsidigital.ca/grants/ab/calgary/logistics,"logistics",115,2,1.74%,11.5,PROGRAMS,60%,65,$1.76,$3.88,$2.12,TIER_ACTION_PLAN_49,$49
100,https://www.fsidigital.ca/usa/tennessee/nashville,"nashville",124,1,0.81%,9.3,PROGRAMS,60%,66,$0.88,$2.77,$1.89,TIER_ACTION_PLAN_49,$49
